"Order ID","Order Date","Seller","Base Currency","Shipping","Insurance","Add Chrg 1","Add Chrg 2","Credit","Coupon Credit","Order Total","Tax","Base Grand Total","Total Lots","Total Items","Order Status","Order Status Changed","Pmt In","Pmt Method","Order Note","Tracking No","Location","Batch","Batch Date","Condition","Item Description","Qty","Each","Total","Item Type","Item Number","Weight","Inv ID","Sub-Condition"
"","","","","","","","","","","","","","","","","","","","","","","1","7/30/2025","New","Luke Skywalker &#40;Tatooine, White Legs, Stern / Smile Face Print&#41; Figure is in new condition, comes in separate bag and ships disassembled","5","$5.635","$28.175","Minifigure","sw0778","3.5","485116313",""
"28789019","7/7/2025","Dhomal","USD","$5.75","","","","","","$40.26","$0.00","$46.01","2","27","Completed","7/23/2025","USD","PayPal (Onsite)","","","USA, New York","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","7/7/2025","New","Nougat Minifigure, Head Black Eyebrows, Upper Eyelids, Dark Orange Cheek Lines and Chin Dimple, Stern Pattern ","15","$1.284","$19.26","Part","3626pb2651","0.55","483811593",""
"","","","","","","","","","","","","","","","","","","","","","","1","7/7/2025","New","White Minifigure, Head, Modified Olaf with Hole on Top with Molded Medium Blue Mouth and Nose and Printed Black Raised Eyebrows and Eyes with  Glints to Right Pattern ","12","$1.75","$21.00","Part","77333pb01","1.27","483811592",""
"28789010","7/7/2025","Audi","USD","$3.95","","$1.00","","","","$34.35","$0.00","$39.30","2","115","Completed","7/23/2025","USD","PayPal (Onsite)","","9400150206217165118348","USA, Michigan","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","7/7/2025","New","Black Wheel Skateboard / Trolley ","100","$0.03","$3.00","Part","2496","0.3","473958930",""
"","","","","","","","","","","","","","","","","","","","","","","1","7/7/2025","New","White Hips and Legs with SW Clone Trooper and Black and Light Bluish Gray Markings and Knee Pads Pattern ","15","$2.09","$31.35","Part","970c00pb1283","1.19","419534746",""
"28724472","6/29/2025","ZigsBrickStore","USD","$5.49","","$0.50","","","","$15.98","$0.00","$21.97","1","8","Completed","7/23/2025","USD","Credit/Debit (Powered by Stripe)","","9400136106193368034768","USA, Michigan","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","White Torso SW Armor Clone Trooper Commander Black Belt and 4 Bright Light Orange Dots Pattern / Bright Light Orange Arms / Black Hands ","8","$1.998","$15.984","Part","973pb4501c01","1.25","373488248",""
"28724463","6/29/2025","tonkaahote","USD","$5.00","","","","","","$7.13","$0.00","$12.13","1","12","Completed","7/5/2025","USD","PayPal (Onsite)","","9400136106193367393033","USA, Illinois","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","White Minifigure, Head, Modified Olaf with Hole on Top with Molded Medium Blue Mouth and Nose and Printed Black Raised Eyebrows and Eyes with  Glints to Right Pattern ","12","$0.594","$7.128","Part","77333pb01","1.27","420392567",""
"28724449","6/29/2025","Thatbricklady","USD","$5.00","","","","","","$3.32","$0.00","$8.32","1","50","Completed","7/5/2025","USD","PayPal (Onsite)","","9400150105501036974440","USA, Colorado","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Blue Bracket 3 x 2 - 2 x 2 Inverted &#40;Space Seat&#41; ","50","$0.0663","$3.315","Part","4598","1.87","349485638",""
"28724446","6/29/2025","RusH711Bricks","USD","$5.00","","","","","","$35.00","$0.00","$40.00","1","14","Completed","7/11/2025","USD","PayPal (Onsite)","","9400150105501033831012","USA, California","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","White Minifigure, Headgear Helmet SW Clone Trooper with Holes, Bright Light Orange Markings and Black Visor Pattern &#40;Clone Trooper Commander&#41; ","14","$2.50","$35.00","Part","61189pb18","0.66","332106660",""
"28724444","6/29/2025","POPS_BLOCK_SHOP","USD","$5.50","","","","","","$15.57","$0.00","$21.07","4","127","Completed","7/5/2025","USD","PayPal (Onsite)","Minor scratches on blue pieces","9400136106193367040944","USA, Michigan","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Blue Plate, Modified 1 x 2 with Bar Handle on Side - Closed Ends ","50","$0.0255","$1.275","Part","48336","0.54","231548431",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Blue Slope 30 1 x 2 x 2/3 ","48","$0.0425","$2.04","Part","85984","0.35","366409943",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Reddish Brown Plant Flower Stem with Bar and 3 Stems Short ","23","$0.034","$0.782","Part","68211","0.08","462868161",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","White Torso SW Armor Clone Trooper Commander Black Belt and 4 Bright Light Orange Dots Pattern / Bright Light Orange Arms / Black Hands ","6","$1.9125","$11.475","Part","973pb4501c01","1.25","387788237",""
"28724427","6/29/2025","BigLittleBricks","USD","$5.99","","","","","","$36.57","$0.00","$42.56","5","127","Completed","7/5/2025","USD","PayPal (Onsite)","","9400136106193367670134","USA, Maryland","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Baby - White Body with Yellow Hands, Head with Neck ","10","$2.99","$29.90","Minifigure","njo0446","3","482594432",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Black Minifigure, Weapon Gun, Blaster SW Standard ","14","$0.3101","$4.3414","Part","58247","0.34","473234837",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Blue Slope 30 1 x 1 x 2/3 ","100","$0.0228","$2.28","Part","54200","0.21","478089032",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Blue Slope 30 1 x 2 x 2/3 ","2","$0.0153","$0.0306","Part","85984","0.35","229413815",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Reddish Brown Plant Flower Stem with Bar and 3 Stems Short ","1","$0.0224","$0.0224","Part","68211","0.08","475331741",""
"28724417","6/29/2025","Audi","USD","$4.25","","$1.00","","","","$34.26","$0.00","$39.51","3","214","Completed","7/23/2025","USD","PayPal (Onsite)","Package was broken open and missing two batches of legos.","9400150206217149334986","USA, Michigan","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Black Wheel Skateboard / Trolley ","100","$0.03","$3.00","Part","2496","0.3","473958930",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Light Bluish Gray Plate, Round 2 x 2 Thin with Wheel Holder ","100","$0.02","$2.00","Part","2655","0.43","473958931",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","White Hips and Legs with SW Clone Trooper and Black and Light Bluish Gray Markings and Knee Pads Pattern ","14","$2.09","$29.26","Part","970c00pb1283","1.19","419534746",""
"28724410","6/29/2025","marvriel","USD","$3.99","","","","","","$34.80","$0.00","$38.79","3","48","Completed","7/5/2025","USD","Credit/Debit (Powered by Stripe)","","9214490342232502711122","Canada, Ontario","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Orange Horn, Unicorn / Spiral ","6","$0.10","$0.60","Part","89522","0.1","374442097",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","Orange Horn, Unicorn / Spiral ","18","$0.10","$1.80","Part","89522","0.1","374444381",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/29/2025","New","White Body Snowman with Black Buttons Pattern, Reddish Brown Arms with Hands ","24","$1.35","$32.40","Part","62373pb02c01","1.36","374444468",""
"28632495","6/18/2025","Shiny_Stuff","USD","$5.60","","","","","","$7.20","$0.00","$12.80","1","10","Completed","6/27/2025","USD","PayPal (Onsite)","","9400136106193355062101","USA, New York","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Dark Brown Minifigure, Hair Female Ponytail Long French Braided ","10","$0.72","$7.20","Part","88286","0.81","375574902",""
"28632485","6/18/2025","romax1989","USD","$4.99","","","","","","$33.51","$0.00","$38.50","6","54","Completed","6/27/2025","USD","PayPal (Onsite)","A lot of the clear plastic pieces were a little yellowed","","USA, Texas","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Albus Dumbledore - Dark Red Robe, Light Bluish Gray Hair comes from a smoke free house","8","$3.702","$29.616","Minifigure","hp147","4.2","193695588",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Reddish Brown Minifigure, Utensil Bag Messenger Pouch comes from a smoke free house","3","$0.2415","$0.7245","Part","61976","0.25","343911432",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Sand Blue Hips  and Legs Plain comes from a smoke free house","3","$0.5348","$1.6044","Part","970c00","1.18","374445765",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Clear Plate, Round 1 x 1 with Bar Handle &#40;Undetermined Type&#41; comes from a smoke free house","10","$0.0858","$0.858","Part","25893u","0.15","165565215",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Clear Plate, Round 2 x 2 with Rounded Bottom (Boat Stud) comes from a smoke free house","10","$0.0252","$0.252","Part","2654","0.45","151178887",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Clear Tile, Round 1 x 1 comes from a smoke free house","20","$0.0228","$0.456","Part","98138","0.11","200125660",""
"28632481","6/18/2025","sirbird_zero","USD","$5.85","","","","","","$6.23","$0.00","$12.08","2","9","Completed","6/27/2025","USD","PayPal (Onsite)","","","USA, Tennessee","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Golden Minifigure Key Chain &#40;Chrome Gold&#41; brand new paper has ben taken of other wize never used.","1","$5.99","$5.99","Gear","852688","11","457725313",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Light Blue Plate, Round 1 x 1 with Open Stud ","8","$0.03","$0.24","Part","85861","0.1","461115919",""
"28632477","6/18/2025","ModernoBricks","USD","$5.99","","","","","","$8.91","$0.00","$14.90","1","9","Completed","6/27/2025","USD","PayPal (Onsite)","","9400136106193352806661","USA, New Jersey","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","White Hips and Legs with Tan Sash and Knee Wrap, Robe Ends with Medium Azure Trim Pattern ","9","$0.99","$8.91","Part","970c00pb1314","1.21","300083938",""
"28632468","6/18/2025","MidwestBrick","USD","$4.99","","","","","","$9.27","$0.00","$14.26","4","32","Completed","6/27/2025","USD","PayPal (Onsite)","","9400150105501021274913","USA, Wisconsin","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Albus Dumbledore - Dark Red Robe, Light Bluish Gray Hair ","2","$3.49","$6.98","Minifigure","hp147","4.2","333539220",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Light Bluish Gray Dish 2 x 2 Inverted (Radar) ","10","$0.035","$0.35","Part","4740","0.28","117306695",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Medium Nougat Torso Female Jacket Open with 3 Buttons over Sand Blue Shirt, Yellow Neck Pattern / Medium Nougat Arms / Yellow Hands ","2","$0.744","$1.488","Part","973pb3164c01","1.31","186478086",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Clear Slope 30 1 x 1 x 2/3 ","18","$0.025","$0.45","Part","54200","0.21","308750973",""
"28632461","6/18/2025","jbucy","USD","$5.25","","$1.00","","","","$6.79","$0.00","$13.04","3","16","Completed","6/27/2025","USD","PayPal (Onsite)","","9400136106193352956991","USA, Ohio","","","","","","","","","","","","","","",
